Time,Region,Population,livebirths,deaths,employment_rate,unemployment_rate,consumption_expenditures,income
Jun.2008,Japan,128032000,88584,84731,58.4,3.9,281951,737166
Jul.2008,Japan,128063000,96219,88148,58,3.8,298366,587732
Aug.2008,Japan,128075000,94909,88550,58,4.1,291154,488216
Sep.2008,Japan,128043000,96400,85525,57.8,4.1,281433,433502
Oct.2008,Japan,128084000,95872,93239,57.8,3.8,291504,481746
Nov.2008,Japan,128098000,88471,98388,57.8,3.9,284762,439394
Dec.2008,Japan,128099000,93518,106069,57.3,4.1,336976,969449
Jan.2009,Japan,128069000,92481,114879,57,4.2,291440,443337
Feb.2009,Japan,128048000,81984,94863,56.7,4.6,266044,464665
Mar.2009,Japan,128013000,88930,101511,56.5,5.1,310680,443429
Apr.2009,Japan,128022000,88172,94168,57.2,5.2,306340,473779
May.2009,Japan,127996000,88224,93170,57.4,5.2,285530,436123
Jun.2009,Japan,128026000,88366,85266,57,5.2,277237,700239
Jul.2009,Japan,128047000,94992,87311,56.7,5.4,285078,573821
Aug.2009,Japan,128040000,92812,89191,57,5.4,290972,466393
Sep.2009,Japan,128002000,93075,88064,57,5.5,277110,422120
Oct.2009,Japan,128032000,93985,95222,56.7,5.2,287789,459704
Nov.2009,Japan,128055000,86698,97630,56.6,5,284740,428219
Dec.2009,Japan,128059000,92566,106599,56.3,4.8,337887,906884
Jan.2010,Japan,128032000,91632,113672,56.2,4.9,291918,434344
Feb.2010,Japan,128052000,82242,98481,56,5,261163,464866
Mar.2010,Japan,128003000,88842,103749,56.2,5.3,319991,439410
Apr.2010,Japan,128032000,88241,99378,56.8,5.4,299996,474616
May.2010,Japan,128011000,87690,98241,57,5.2,280714,421413
Jun.2010,Japan,128041000,90535,90869,56.8,5.2,276494,733886
Jul.2010,Japan,128070000,94047,95656,56.8,5,285274,562094
Aug.2010,Japan,128069000,93550,96235,56.8,5.1,293361,470717
Sep.2010,Japan,128028000,93186,92183,57.1,5.1,275367,425771
Oct.2010,Japan,128057352,93311,98888,56.9,5,287433,494398
Nov.2010,Japan,128066000,89275,104457,56.6,4.8,284212,431281
Dec.2010,Japan,128058000,90939,111452,56.4,4.6,327006,895511
Jan.2011,Japan,128027000,89599,122423,56.2,4.8,289191,419728
Feb.2011,Japan,127994000,80669,103554,56.3,4.6,260793,470071
Mar.2011,Japan,127945000,88556,130644,56.1,4.9,291900,419862
Apr.2011,Japan,127708000,86092,104240,56.7,5,292559,454433
May.2011,Japan,127749000,87313,101728,56.9,4.7,276159,413506
Jun.2011,Japan,127809000,88137,95064,56.7,4.7,265807,687212
Jul.2011,Japan,127833000,92282,94810,56.5,4.7,280046,572662
Aug.2011,Japan,127838000,94048,96595,56.6,4.5,282008,463760
Sep.2011,Japan,127797000,93442,92532,56.9,4.2,270010,422720
Oct.2011,Japan,127834000,90126,100946,56.7,4.4,285605,479749
Nov.2011,Japan,127839000,85611,101916,56.7,4.3,273428,424272
Dec.2011,Japan,127831000,86227,115033,56.4,4.2,328080,893811
Jan.2012,Japan,127708000,88687,123697,55.9,4.5,283124,430477
Feb.2012,Japan,127678000,82457,114765,56.1,4.4,267855,483625
Mar.2012,Japan,127629000,84757,111737,56,4.7,303841,441015
Apr.2012,Japan,127625000,82774,103105,56.5,4.8,301948,469381
May.2012,Japan,127584000,86876,99465,56.8,4.5,287911,417723
Jun.2012,Japan,127611000,84548,91471,56.8,4.4,269810,712592
Jul.2012,Japan,127629000,91675,95259,56.6,4.4,283295,557032
Aug.2012,Japan,127625000,92068,97469,56.6,4.2,286036,470470
Sep.2012,Japan,127561000,91019,93323,56.8,4.2,266705,422046
Oct.2012,Japan,127593000,91690,103218,57,4.1,284238,482101
Nov.2012,Japan,127593000,86779,108828,56.7,4,273772,432681
Dec.2012,Japan,127575000,87318,120568,56.1,4,325492,902928
Jan.2013,Japan,127529000,87022,127975,56.2,4.2,288934,433858
Feb.2013,Japan,127501000,78040,111306,56.3,4.2,268099,476256
Mar.2013,Japan,127429000,84029,111629,56.3,4.3,316166,444379
Apr.2013,Japan,127450000,82870,104115,57,4.4,304382,479854
May.2013,Japan,127409000,86284,102596,57.2,4.2,282366,422724
Jun.2013,Japan,127428000,83390,92758,57.1,3.9,269418,728678
Jul.2013,Japan,127445000,92517,97425,56.9,3.9,286098,569174
Aug.2013,Japan,127445000,93240,99563,56.9,4.1,284646,471411
Sep.2013,Japan,127375000,91804,96738,57.3,3.9,280692,431931
Oct.2013,Japan,127414000,91879,103604,57.4,4,290676,482684
Nov.2013,Japan,127413000,84212,109324,57.5,3.8,279546,436293
Dec.2013,Japan,127399000,87472,117985,57,3.4,334433,905822
Jan.2014,Japan,127357000,84773,125313,56.5,3.7,297070,438646
Feb.2014,Japan,127315000,75002,110835,56.7,3.6,266610,479268
Mar.2014,Japan,127267000,80493,114386,56.8,3.8,345443,438145
Apr.2014,Japan,127270000,79948,104992,57.2,3.9,302141,463964
May.2014,Japan,127235000,84464,101385,57.7,3.6,271411,421117
Jun.2014,Japan,127254000,82530,92980,57.7,3.7,272791,710375
Jul.2014,Japan,127276000,90777,96513,57.3,3.8,280293,555276
Aug.2014,Japan,127270000,89080,98661,57.4,3.5,282124,463810
Sep.2014,Japan,127197000,91741,98107,57.8,3.5,275226,421809
Oct.2014,Japan,127237000,90021,104885,57.6,3.5,288579,488273
Nov.2014,Japan,127240000,82264,108749,57.5,3.3,280271,431543
